id,tempo,estado,dist_jogador
10,3.076,PATRULHA,560.56
10,3.093,PATRULHA,559.68
10,3.109,PATRULHA,558.77
10,3.127,PATRULHA,557.92
10,3.143,PATRULHA,557.01
10,3.159,PATRULHA,557.70
10,3.176,PATRULHA,558.36
10,3.193,PATRULHA,559.11
10,3.209,PATRULHA,559.80
10,3.226,PATRULHA,560.52
10,3.242,PATRULHA,561.24
10,3.259,PATRULHA,561.96
10,3.277,PATRULHA,562.72
10,3.293,PATRULHA,564.14
10,3.309,PATRULHA,565.43
10,3.326,PATRULHA,566.80
10,3.342,PATRULHA,568.15
10,3.359,PATRULHA,569.46
10,3.376,PATRULHA,570.79
10,3.393,PATRULHA,572.17
10,3.409,PATRULHA,573.55
10,3.426,PATRULHA,574.90
10,3.443,PATRULHA,576.23
10,3.459,PATRULHA,577.59
10,3.476,PATRULHA,578.92
10,3.492,PATRULHA,580.33
10,3.509,PATRULHA,581.62
10,3.525,PATRULHA,583.01
10,3.542,PATRULHA,584.33
10,3.559,PATRULHA,585.70
10,3.576,PATRULHA,587.03
10,3.593,PATRULHA,588.41
10,3.609,PATRULHA,589.84
10,3.626,PATRULHA,591.14
10,3.642,PATRULHA,592.53
10,3.659,PATRULHA,593.89
10,3.676,PATRULHA,595.28
10,3.692,PATRULHA,596.63
10,3.709,PATRULHA,597.99
10,3.725,PATRULHA,599.37
10,3.745,PATRULHA,600.73
10,3.760,PATRULHA,602.34
10,3.776,PATRULHA,603.59
10,3.792,PATRULHA,604.96
10,3.809,PATRULHA,606.39
10,3.826,PATRULHA,607.89
10,3.843,PATRULHA,609.29
10,3.859,PATRULHA,610.78
10,3.876,PATRULHA,612.21
10,3.892,PATRULHA,613.73
10,3.910,PATRULHA,615.13
10,3.926,PATRULHA,616.64
10,3.942,PATRULHA,618.08
10,3.960,PATRULHA,619.46
10,3.976,PATRULHA,621.00
10,3.994,PATRULHA,622.57
10,4.009,PATRULHA,624.26
10,4.026,PATRULHA,625.15
10,4.042,PATRULHA,626.11
10,4.059,PATRULHA,627.10
10,4.076,PATRULHA,628.10
10,4.092,PATRULHA,629.10
10,4.109,PATRULHA,630.08
10,4.126,PATRULHA,631.10
10,4.143,PATRULHA,632.10
10,4.159,PATRULHA,633.13
10,4.176,PATRULHA,634.11
10,4.193,PATRULHA,635.70
10,4.209,PATRULHA,637.38
10,4.229,PATRULHA,639.08
10,4.244,PATRULHA,641.13
10,4.261,PATRULHA,642.60
10,4.277,PATRULHA,644.36
10,4.293,PATRULHA,646.00
10,4.309,PATRULHA,647.65
10,4.326,PATRULHA,649.34
10,4.343,PATRULHA,651.05
10,4.360,PATRULHA,652.82
10,4.376,PATRULHA,654.58
10,4.393,PATRULHA,656.19
10,4.410,PATRULHA,657.94
10,4.427,PATRULHA,659.76
10,4.442,PATRULHA,661.56
10,4.459,PATRULHA,663.10
10,4.476,PATRULHA,664.89
10,4.492,PATRULHA,666.58
10,4.509,PATRULHA,668.33
10,4.526,PATRULHA,670.07
10,4.542,PATRULHA,671.80
10,4.559,PATRULHA,673.53
10,4.576,PATRULHA,674.79
10,4.593,PATRULHA,676.01
10,4.611,PATRULHA,677.24
10,4.627,PATRULHA,678.87
10,4.643,PATRULHA,680.30
10,4.660,PATRULHA,681.73
10,4.679,PATRULHA,683.25
10,4.693,PATRULHA,684.97
10,4.710,PATRULHA,686.24
10,4.727,PATRULHA,687.79
10,4.742,PATRULHA,689.35
10,4.759,PATRULHA,690.78
10,4.776,PATRULHA,692.36
10,4.793,PATRULHA,693.87
10,4.810,PATRULHA,695.48
10,4.826,PATRULHA,697.06
10,4.843,PATRULHA,698.65
10,4.859,PATRULHA,700.24
10,4.876,PATRULHA,701.75
10,4.893,PATRULHA,703.33
10,4.910,PATRULHA,705.01
10,4.925,PATRULHA,706.57
10,4.943,PATRULHA,708.09
10,4.959,PATRULHA,709.75
10,4.976,PATRULHA,710.03
10,4.993,PATRULHA,710.34
10,5.010,PATRULHA,710.65
10,5.028,PATRULHA,710.97
10,5.043,PATRULHA,711.34
10,5.059,PATRULHA,711.65
10,5.076,PATRULHA,711.98
10,5.093,PATRULHA,712.36
10,5.110,PATRULHA,712.73
10,5.127,PATRULHA,713.12
10,5.144,PATRULHA,713.53
10,5.162,PATRULHA,713.95
10,5.179,PATRULHA,714.42
10,5.194,PATRULHA,714.85
10,5.211,PATRULHA,715.25
10,5.226,PATRULHA,715.72
10,5.243,PATRULHA,716.14
10,5.259,PATRULHA,716.67
10,5.275,PATRULHA,717.17
10,5.292,PATRULHA,717.71
10,5.309,PATRULHA,718.28
10,5.327,PATRULHA,718.85
10,5.343,PATRULHA,719.45
10,5.359,PATRULHA,720.02
10,5.376,PATRULHA,720.61
10,5.393,PATRULHA,721.22
10,5.409,PATRULHA,721.84
10,5.427,PATRULHA,722.47
10,5.443,PATRULHA,723.15
10,5.460,PATRULHA,723.75
10,5.479,PATRULHA,724.44
10,5.493,PATRULHA,725.22
10,5.510,PATRULHA,725.80
10,5.526,PATRULHA,726.48
10,5.543,PATRULHA,727.18
10,5.561,PATRULHA,727.89
10,5.576,PATRULHA,728.69
10,5.593,PATRULHA,729.35
10,5.609,PATRULHA,730.10
10,5.626,PATRULHA,730.84
10,5.642,PATRULHA,731.62
10,5.659,PATRULHA,732.35
10,5.675,PATRULHA,733.14
10,5.692,PATRULHA,733.93
10,5.710,PATRULHA,734.74
10,5.726,PATRULHA,735.60
10,5.744,PATRULHA,736.38
10,5.760,PATRULHA,737.31
10,5.776,PATRULHA,738.12
10,5.793,PATRULHA,738.92
10,5.809,PATRULHA,739.83
10,5.826,PATRULHA,740.66
10,5.843,PATRULHA,741.58
10,5.860,PATRULHA,742.49
10,5.876,PATRULHA,743.39
10,5.895,PATRULHA,744.26
10,5.909,PATRULHA,745.35
10,5.926,PATRULHA,746.16
10,5.944,PATRULHA,747.09
10,5.961,PATRULHA,748.11
10,5.977,PATRULHA,749.15
10,5.995,PATRULHA,750.07
10,6.009,PATRULHA,751.12
10,6.028,PATRULHA,751.99
10,6.044,PATRULHA,753.14
10,6.061,PATRULHA,754.09
10,6.077,PATRULHA,755.16
10,6.093,PATRULHA,756.11
10,6.110,PATRULHA,757.12
10,6.129,PATRULHA,758.23
10,6.143,PATRULHA,759.46
10,6.159,PATRULHA,760.34
10,6.176,PATRULHA,761.39
10,6.192,PATRULHA,762.49
10,6.209,PATRULHA,763.57
10,6.227,PATRULHA,764.65
10,6.243,PATRULHA,765.90
10,6.260,PATRULHA,766.95
10,6.276,PATRULHA,768.14
10,6.294,PATRULHA,769.20
10,6.310,PATRULHA,770.49
10,6.328,PATRULHA,771.56
10,6.344,PATRULHA,772.83
10,6.359,PATRULHA,772.49
10,6.377,PATRULHA,772.18
10,6.394,PATRULHA,771.82
10,6.411,PATRULHA,771.49
10,6.426,PATRULHA,771.16
10,6.443,PATRULHA,770.89
10,6.459,PATRULHA,770.59
10,6.478,PATRULHA,770.31
10,6.493,PATRULHA,768.72
10,6.509,PATRULHA,767.41
10,6.526,PATRULHA,766.41
10,6.542,PATRULHA,765.38
10,6.559,PATRULHA,764.36
10,6.576,PATRULHA,763.31
10,6.593,PATRULHA,762.27
10,6.609,PATRULHA,761.23
10,6.626,PATRULHA,760.24
10,6.643,PATRULHA,759.16
10,6.660,PATRULHA,758.17
10,6.676,PATRULHA,757.08
10,6.693,PATRULHA,756.11
10,6.710,PATRULHA,755.11
10,6.726,PATRULHA,754.07
10,6.743,PATRULHA,753.08
10,6.759,PATRULHA,752.07
10,6.777,PATRULHA,751.09
10,6.794,PATRULHA,750.01
10,6.810,PATRULHA,748.95
10,6.826,PATRULHA,747.99
10,6.843,PATRULHA,746.64
10,6.861,PATRULHA,745.12
10,6.879,PATRULHA,744.85
10,6.892,PATRULHA,744.58
10,6.909,PATRULHA,744.39
10,6.926,PATRULHA,744.15
10,6.943,PATRULHA,743.91
10,6.959,PATRULHA,743.67
10,6.977,PATRULHA,743.45
10,6.993,PATRULHA,743.22
10,7.011,PATRULHA,743.02
10,7.028,PATRULHA,742.79
10,7.046,PATRULHA,742.60
10,7.061,PATRULHA,742.41
10,7.078,PATRULHA,742.24
10,7.097,PATRULHA,742.07
10,7.112,PATRULHA,741.89
10,7.128,PATRULHA,741.76
10,7.145,PATRULHA,741.55
10,7.161,PATRULHA,741.36
10,7.179,PATRULHA,741.18
10,7.195,PATRULHA,740.99
10,7.213,PATRULHA,740.82
10,7.228,PATRULHA,740.65
10,7.245,PATRULHA,740.51
10,7.261,PATRULHA,740.36
10,7.278,PATRULHA,740.22
10,7.295,PATRULHA,740.08
10,7.313,PATRULHA,739.95
10,7.329,PATRULHA,739.83
10,7.345,PATRULHA,739.65
10,7.362,PATRULHA,739.47
10,7.379,PATRULHA,739.29
10,7.395,PATRULHA,737.80
10,7.412,PATRULHA,736.41
10,7.428,PATRULHA,734.91
10,7.446,PATRULHA,733.57
10,7.461,PATRULHA,732.03
10,7.478,PATRULHA,730.68
10,7.495,PATRULHA,729.26
10,7.512,PATRULHA,727.80
10,7.529,PATRULHA,726.32
10,7.545,PATRULHA,726.45
10,7.561,PATRULHA,726.58
10,7.579,PATRULHA,727.36
10,7.596,PATRULHA,728.18
10,7.612,PATRULHA,729.00
10,7.628,PATRULHA,729.74
